_id,YIL,AY,ILCE,MAHALLE,KISIRLASTIRMA_NOKTALARI,ADET
1,2020,1,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,401
2,2020,1,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,145
3,2020,2,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,343
4,2020,2,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,299
5,2020,3,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,372
6,2020,3,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,154
7,2020,4,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,195
8,2020,4,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,110
9,2020,5,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,251
10,2020,5,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,88
11,2020,6,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,380
12,2020,6,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,149
13,2020,7,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,305
14,2020,7,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,106
15,2020,8,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,301
16,2020,8,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,200
17,2020,9,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,188
18,2020,9,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,164
19,2020,10,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,320
20,2020,10,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,180
21,2020,11,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,350
22,2020,11,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,131
23,2020,12,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,415
24,2020,12,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,145
25,2021,1,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,512
26,2021,1,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,137
27,2021,1,İlçe Hizmet Birimleri,"","",717
28,2021,2,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,520
29,2021,2,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,180
30,2021,2,İlçe Hizmet Birimleri,"","",947
31,2021,3,Konak,Alsancak,Veteriner işleri Küçük Hayvan polikliniği,556
32,2021,3,Bornova,Işıkkent,Işıkkent- seyrek Köpek Bakımevi,155
33,2021,3,İlçe Hizmet Birimleri,"","",990
